plot,block,variety,herbicide,profile,date,sample,masslost
101,1,gm,gly,buried,07/18/06,incrop1,0.145
101,1,gm,gly,buried,07/18/06,incrop1,0.331
101,1,gm,gly,buried,07/18/06,incrop1,0.327
101,1,gm,gly,surface,07/18/06,incrop1,-0.102
101,1,gm,gly,surface,07/18/06,incrop1,-0.019
101,1,gm,gly,surface,07/18/06,incrop1,-0.046
101,1,nongm,gly,buried,07/18/06,incrop1,0.3
101,1,nongm,gly,buried,07/18/06,incrop1,0.388
101,1,nongm,gly,surface,07/18/06,incrop1,0.157
101,1,nongm,gly,surface,07/18/06,incrop1,0.061
101,1,nongm,gly,surface,07/18/06,incrop1,-0.395
102,1,gm,conv,buried,07/18/06,incrop1,0.508
102,1,gm,conv,buried,07/18/06,incrop1,0.32
102,1,gm,conv,buried,07/18/06,incrop1,0.291
102,1,gm,conv,surface,07/18/06,incrop1,0.081
102,1,gm,conv,surface,07/18/06,incrop1,0.191
102,1,gm,conv,surface,07/18/06,incrop1,0.144
102,1,nongm,conv,buried,07/18/06,incrop1,0.419
102,1,nongm,conv,buried,07/18/06,incrop1,0.417
102,1,nongm,conv,surface,07/18/06,incrop1,-0.04
102,1,nongm,conv,surface,07/18/06,incrop1,0.107
203,2,gm,gly,buried,07/18/06,incrop1,0.465
203,2,gm,gly,buried,07/18/06,incrop1,0.342
203,2,gm,gly,buried,07/18/06,incrop1,0.455
203,2,gm,gly,surface,07/18/06,incrop1,-0.156
203,2,gm,gly,surface,07/18/06,incrop1,-0.069
203,2,gm,gly,surface,07/18/06,incrop1,-0.244
203,2,nongm,gly,buried,07/18/06,incrop1,0.447
203,2,nongm,gly,buried,07/18/06,incrop1,0.326
203,2,nongm,gly,buried,07/18/06,incrop1,0.355
203,2,nongm,gly,surface,07/18/06,incrop1,-0.045
203,2,nongm,gly,surface,07/18/06,incrop1,-0.316
206,2,gm,conv,buried,07/18/06,incrop1,0.448
206,2,gm,conv,buried,07/18/06,incrop1,0.423
206,2,gm,conv,buried,07/18/06,incrop1,0.424
206,2,gm,conv,surface,07/18/06,incrop1,-0.143
206,2,gm,conv,surface,07/18/06,incrop1,0.05
206,2,nongm,conv,buried,07/18/06,incrop1,0.42
206,2,nongm,conv,buried,07/18/06,incrop1,0.572
206,2,nongm,conv,buried,07/18/06,incrop1,0.549
206,2,nongm,conv,surface,07/18/06,incrop1,-0.291
206,2,nongm,conv,surface,07/18/06,incrop1,-0.146
206,2,nongm,conv,surface,07/18/06,incrop1,-0.265
304,3,gm,gly,buried,07/18/06,incrop1,0.329
304,3,gm,gly,buried,07/18/06,incrop1,0.336
304,3,gm,gly,buried,07/18/06,incrop1,0.365
304,3,gm,gly,surface,07/18/06,incrop1,-0.271
304,3,gm,gly,surface,07/18/06,incrop1,0.058
304,3,nongm,gly,buried,07/18/06,incrop1,0.308
304,3,nongm,gly,buried,07/18/06,incrop1,0.272
304,3,nongm,gly,buried,07/18/06,incrop1,0.274
304,3,nongm,gly,surface,07/18/06,incrop1,0.025
304,3,nongm,gly,surface,07/18/06,incrop1,0.069
304,3,nongm,gly,surface,07/18/06,incrop1,0.146
305,3,gm,conv,buried,07/18/06,incrop1,0.29
305,3,gm,conv,buried,07/18/06,incrop1,0.103
305,3,gm,conv,buried,07/18/06,incrop1,0.318
305,3,gm,conv,surface,07/18/06,incrop1,-0.128
305,3,gm,conv,surface,07/18/06,incrop1,-0.069
305,3,gm,conv,surface,07/18/06,incrop1,0.077
305,3,nongm,conv,buried,07/18/06,incrop1,0.195
305,3,nongm,conv,buried,07/18/06,incrop1,0.338
305,3,nongm,conv,surface,07/18/06,incrop1,-0.296
305,3,nongm,conv,surface,07/18/06,incrop1,-0.513
305,3,nongm,conv,surface,07/18/06,incrop1,0.11
404,4,gm,conv,buried,07/18/06,incrop1,0.486
404,4,gm,conv,buried,07/18/06,incrop1,0.269
404,4,gm,conv,buried,07/18/06,incrop1,0.27
404,4,gm,conv,surface,07/18/06,incrop1,0.061
404,4,gm,conv,surface,07/18/06,incrop1,0.022
404,4,nongm,conv,buried,07/18/06,incrop1,0.251
404,4,nongm,conv,buried,07/18/06,incrop1,0.276
404,4,nongm,conv,buried,07/18/06,incrop1,0.293
404,4,nongm,conv,surface,07/18/06,incrop1,0.055
404,4,nongm,conv,surface,07/18/06,incrop1,0.06
404,4,nongm,conv,surface,07/18/06,incrop1,-0.026
407,4,gm,gly,buried,07/18/06,incrop1,0.406
407,4,gm,gly,buried,07/18/06,incrop1,0.244
407,4,gm,gly,surface,07/18/06,incrop1,0.028
407,4,gm,gly,surface,07/18/06,incrop1,0.002
407,4,gm,gly,surface,07/18/06,incrop1,-0.005
407,4,nongm,gly,buried,07/18/06,incrop1,0.263
407,4,nongm,gly,buried,07/18/06,incrop1,0.416
407,4,nongm,gly,buried,07/18/06,incrop1,0.317
407,4,nongm,gly,surface,07/18/06,incrop1,-0.408
407,4,nongm,gly,surface,07/18/06,incrop1,-0.051
101,1,gm,gly,buried,08/29/06,incrop2,0.518
101,1,gm,gly,buried,08/29/06,incrop2,0.72
101,1,gm,gly,buried,08/29/06,incrop2,0.458
101,1,gm,gly,surface,08/29/06,incrop2,0.469
101,1,gm,gly,surface,08/29/06,incrop2,0.176
101,1,gm,gly,surface,08/29/06,incrop2,0.075
